序号,平台,井号,设备名称,增压类型,增压日期,增压前瞬量（万方/天）,"增压后瞬量
（万方/天）",增压停止日期,"增压天数
（天）","增产气量
（万方）",日递减,累计增产气量（万方）,当日增产气量（万方）,备注
,,威202H13-6,,,2019/8/20,3.2,5.3,2020/6/2,287,2.1,0.25%,430,1,
,,威202H13-7,,,2019/8/20,7.4,8.2,2020/6/2,287,0.8,0.25%,164,0.4,
,,威202H13-8,,,2019/8/20,4.8,5.4,2020/6/2,287,0.6,0.25%,123,0.3,
,,威204H11-4,,,2018/10/15,5,6.1,2023/12/31,1977,1.1,0.25%,437,0,
,,威204H11-5,,,2018/10/15,4.5,5.2,2023/12/31,1977,0.7,0.25%,278,0,
,,威204H11-6,,,2018/10/15,3.9,4.6,2023/12/31,1977,0.7,0.25%,278,0,
34,204H10,威204H10-1,DTY500天然气压缩机,204-5,2018/8/17,1.6,1.9,2023/12/31,2036,0.3,0.25%,119,0,/
,,威204H10-2,,,2018/8/17,4.9,5.8,2023/12/31,2036,0.9,0.25%,358,0,
,,威204H10-3,,,2018/8/17,5.2,5.9,2023/12/31,2036,0.7,0.25%,278,0,
,,威204H10-4,,,2018/8/17,4,4.3,2023/12/31,2036,0.3,0.25%,119,0,
,,威204H10-5,,,2018/8/17,2.5,3.9,2023/12/31,2036,1.4,0.25%,557,0,
,,威204H10-6,,,2018/8/17,7.3,8.9,2023/12/31,2036,1.6,0.25%,636,0,
36,"204H10
（迁入）",威204H10-1,DTY500天然气压缩机,平台增压,2018/8/17,1.6,1.9,2023/12/31,2036,0.3,0.25%,119,0,由204H35平台迁入
,,威204H10-2,,,2018/8/17,4.9,5.8,2023/12/31,2036,0.9,0.25%,358,0,
,,威204H10-3,,,2018/8/17,5.2,5.9,2023/12/31,2036,0.7,0.25%,278,0,
,,威204H10-4,,,2018/8/17,4,4.3,2023/12/31,2036,0.3,0.25%,119,0,
,,威204H10-5,,,2018/8/17,2.5,3.9,2023/12/31,2036,1.4,0.25%,557,0,
,,威204H10-6,,,2018/8/17,7.3,8.9,2023/12/31,2036,1.6,0.25%,636,0,
6,202H10,威202H10-1,DTY500天然气压缩机,202-4,2018/8/14,6.9,8.1,2023/12/31,2039,1.2,0.25%,477,0,/
,,威202H10-2,,,2018/8/14,9.2,9.8,2023/12/31,2039,0.6,0.25%,239,0,
,,威202H10-3,,,2018/8/14,6.9,8,2023/12/31,2039,1.1,0.25%,437,0,
,,威202H10-4,,,2018/8/14,10,12.1,2023/12/31,2039,2.1,0.25%,835,0,
,,威202H10-5,,,2018/8/14,0.4,1,2023/12/31,2039,0.6,0.25%,239,0,
,,威202H10-6,,,2018/8/14,2.4,3.1,2023/12/31,2039,0.7,0.25%,278,0,
,,威202H10-7,,,2018/8/14,0.9,2.4,2023/12/31,2039,1.5,0.25%,596,0,
,,威202H10-8,,,2018/8/14,3.5,3.9,2023/12/31,2039,0.4,0.25%,159,0,
,,威202H10-9,,,2018/8/14,10.5,11,2023/12/31,2039,0.5,0.25%,199,0,
7,202H11,威202H11-3,DTY315天然气压缩机,202-3,2018/7/12,4.8,5.7,2023/12/31,2072,0.9,0.25%,358,0,/
,,威202H11-4,,,2018/7/12,2.5,3.4,2023/12/31,2072,0.9,0.25%,358,0,
,,威202H11-5,,,2018/7/12,4.2,4.7,2023/12/31,2072,0.5,0.25%,199,0,
,,威202H11-6,,,2018/7/12,3.8,4.1,2023/12/31,2072,0.3,0.25%,119,0,
30,204H6,威204H6-1,DTY315天然气压缩机,204-1,2018/6/19,0.8,1.4,2023/12/31,2095,0.6,0.25%,239,0,/
,,威204H6-2,,,2018/6/19,2,2.2,2023/12/31,2095,0.2,0.25%,80,0,
,,威204H6-3,,,2018/6/19,0.8,1.1,2023/12/31,2095,0.3,0.25%,119,0,
,,威204H6-4,,,2018/6/19,1.6,2.1,2023/12/31,2095,0.5,0.25%,199,0,
,,威204H6-5,,,2018/6/19,0.8,1.1,2023/12/31,2095,0.3,0.25%,119,0,
,,威204H6-6,,,2018/6/19,0.7,1,2023/12/31,2095,0.3,0.25%,119,0,
33,204H9,威204H9-1,DTY315天然气压缩机,204-4,2018/1/7,7,8.5,2023/12/31,2258,1.5,0.25%,598,0,/
,,威204H9-2,,,2018/1/7,3.4,4.3,2023/12/31,2258,0.9,0.25%,359,0,
,,威204H9-3,,,2018/1/7,4.5,4.8,2023/12/31,2258,0.3,0.25%,120,0,
,,威204H9-4,,,2018/1/7,4.8,6,2023/12/31,2258,1.2,0.25%,478,0,
,,威204H9-5,,,2018/1/7,1.5,1.8,2023/12/31,2258,0.3,0.25%,120,0,
,,威204H9-6,,,2018/1/7,4.2,5.6,2023/12/31,2258,1.4,0.25%,558,0,
28,204H5,威204H5-1,DTY315天然气压缩机,204-3,2017/4/21,2.4,3.3,2023/12/31,2519,0.9,0.25%,359,0,/
,,威204H5-2,,,2017/4/21,1.4,1.9,2023/12/31,2519,0.5,0.25%,200,0,
,,威204H5-3,,,2017/4/21,1.3,1.8,2023/12/31,2519,0.5,0.25%,200,0,
,,威204H5-4,,,2017/4/21,1.7,2.5,2019/2/4,654,0.8,0.25%,258,0.2,
,,威204H5-5,,,2017/4/21,1.6,2.3,2023/12/31,2519,0.7,0.25%,279,0,
,,威204H5-6,,,2017/4/21,0.3,0.4,2018/12/25,613,0.1,0.25%,31,0,
37,204H11,威204H11-1,/,204-3,2017/4/21,1.8,2.2,2023/12/31,2519,0.4,0.25%,160,0,H1集气站增压
,,威204H11-2,,,2017/4/21,3.6,5.1,2023/12/31,2519,1.5,0.25%,599,0,
,,威204H11-3,,,2017/4/21,5.8,6.9,2023/12/31,2519,1.1,0.25%,439,0,
,,威204H1-2,DTY315天然气压缩机,204-1,2017/3/9,1.2,1.5,2023/12/31,2562,0.3,0.25%,120,0,
,,威204H1-3,,,2017/3/9,0.7,0.8,2023/12/31,2562,0.1,0.25%,40,0,
26,204H4,威204H4-1,DTY315天然气压缩机,204-1,2017/3/9,1.5,2.4,2023/12/31,2562,0.9,0.25%,359,0,/
,,威204H4-2,,,2017/3/9,1.7,2.1,2023/12/31,2562,0.4,0.25%,160,0,
,,威204H4-3,,,2017/3/9,1.4,2.2,2019/2/2,695,0.8,0.25%,264,0.1,
,,威204H4-4,,,2017/3/9,0.9,1.1,2023/12/31,2562,0.2,0.25%,80,0,
,,威204H4-5,,,2017/3/9,5.6,6.6,2023/12/31,2562,1,0.25%,399,0,
,,威204H4-6,,,2017/3/9,1.4,1.9,2023/12/31,2562,0.5,0.25%,200,0,
3,202H3,威202H3-1,DTY315天然气压缩机,202-2,2016/11/26,9.6,11.7,2021/11/29,1829,2.1,0.25%,831,0,由平台增压改成集中增压
,,威202H3-2,,,2016/11/26,6.2,6.3,2021/11/29,1829,0.1,0.25%,40,0,
,,威202H3-3,,,2016/11/26,3.4,3.9,2021/11/29,1829,0.5,0.25%,198,0,
,,威202H3-4,,,2016/11/26,6.6,7.3,2021/11/29,1829,0.7,0.25%,277,0,
,,威202H3-5,,,2016/11/26,5.7,6.4,2021/11/29,1829,0.7,0.25%,277,0,
,,威202H3-6,,,2016/11/26,6.9,8.4,2021/11/29,1829,1.5,0.25%,594,0,
1,202H1,威202H1-1,DTY315天然气压缩机,202-1,2016/10/7,1.3,2.2,2018/12/24,808,0.9,0.25%,312,0.1,搬迁至202H3平台
,,威202H1-2,,,2016/10/7,4.7,5.6,2018/12/31,815,0.9,0.25%,313,0.1,
,,威202H1-3,,,2016/10/7,3.8,4.3,2021/10/22,1841,0.5,0.25%,198,0,
,,威202H1-4,,,2016/10/7,2.9,3.2,2021/10/22,1841,0.3,0.25%,119,0,
,,威202H1-5,,,2016/10/7,3.9,4.2,2021/10/22,1841,0.3,0.25%,119,0,
,,威202H1-6,,,2016/10/7,4.7,5.9,2021/10/22,1841,1.2,0.25%,475,0,
